SDG using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=0.0005
initial Wa=0.10000000149011612, Wb=1.7999999523162842
update=253, Epoch=31, minibatch=4, loss=0.05080, Wa=1.2614, Wb=1.2325
update=254, Epoch=31, minibatch=5, loss=0.06088, Wa=1.2613, Wb=1.2326
update=255, Epoch=31, minibatch=6, loss=0.05754, Wa=1.2606, Wb=1.2326
update=256, Epoch=31, minibatch=7, loss=0.06098, Wa=1.2612, Wb=1.2326
update=257, Epoch=32, minibatch=0, loss=0.05700, Wa=1.2609, Wb=1.2325
update=258, Epoch=32, minibatch=1, loss=0.05887, Wa=1.2608, Wb=1.2323
update=259, Epoch=32, minibatch=2, loss=0.05651, Wa=1.2605, Wb=1.2324
update=260, Epoch=32, minibatch=3, loss=0.05005, Wa=1.2601, Wb=1.2322
update=261, Epoch=32, minibatch=4, loss=0.04936, Wa=1.2605, Wb=1.2322
update=262, Epoch=32, minibatch=5, loss=0.05597, Wa=1.2603, Wb=1.2323
update=263, Epoch=32, minibatch=6, loss=0.05734, Wa=1.2608, Wb=1.2322
update=264, Epoch=32, minibatch=7, loss=0.06535, Wa=1.2612, Wb=1.2324
update=265, Epoch=33, minibatch=0, loss=0.06827, Wa=1.2615, Wb=1.2326
update=266, Epoch=33, minibatch=1, loss=0.05887, Wa=1.2610, Wb=1.2328
update=267, Epoch=33, minibatch=2, loss=0.06071, Wa=1.2608, Wb=1.2324
update=268, Epoch=33, minibatch=3, loss=0.04633, Wa=1.2608, Wb=1.2323
update=269, Epoch=33, minibatch=4, loss=0.04952, Wa=1.2607, Wb=1.2323
update=270, Epoch=33, minibatch=5, loss=0.05020, Wa=1.2603, Wb=1.2321
update=271, Epoch=33, minibatch=6, loss=0.05953, Wa=1.2610, Wb=1.2322
update=272, Epoch=33, minibatch=7, loss=0.05777, Wa=1.2617, Wb=1.2325
update=273, Epoch=34, minibatch=0, loss=0.04969, Wa=1.2616, Wb=1.2327
update=274, Epoch=34, minibatch=1, loss=0.05994, Wa=1.2615, Wb=1.2325
update=275, Epoch=34, minibatch=2, loss=0.06698, Wa=1.2614, Wb=1.2324
update=276, Epoch=34, minibatch=3, loss=0.05971, Wa=1.2615, Wb=1.2323
update=277, Epoch=34, minibatch=4, loss=0.05119, Wa=1.2616, Wb=1.2322
update=278, Epoch=34, minibatch=5, loss=0.04701, Wa=1.2617, Wb=1.2326
update=279, Epoch=34, minibatch=6, loss=0.05753, Wa=1.2610, Wb=1.2326
update=280, Epoch=34, minibatch=7, loss=0.05874, Wa=1.2612, Wb=1.2325
update=281, Epoch=35, minibatch=0, loss=0.04959, Wa=1.2613, Wb=1.2326
update=282, Epoch=35, minibatch=1, loss=0.06136, Wa=1.2612, Wb=1.2323
update=283, Epoch=35, minibatch=2, loss=0.05959, Wa=1.2614, Wb=1.2324
update=284, Epoch=35, minibatch=3, loss=0.06294, Wa=1.2615, Wb=1.2321
update=285, Epoch=35, minibatch=4, loss=0.05851, Wa=1.2616, Wb=1.2323
update=286, Epoch=35, minibatch=5, loss=0.06436, Wa=1.2615, Wb=1.2322
update=287, Epoch=35, minibatch=6, loss=0.04616, Wa=1.2611, Wb=1.2324
update=288, Epoch=35, minibatch=7, loss=0.04800, Wa=1.2614, Wb=1.2324
update=289, Epoch=36, minibatch=0, loss=0.05994, Wa=1.2611, Wb=1.2326
update=290, Epoch=36, minibatch=1, loss=0.06405, Wa=1.2615, Wb=1.2324
update=291, Epoch=36, minibatch=2, loss=0.04868, Wa=1.2608, Wb=1.2325
update=292, Epoch=36, minibatch=3, loss=0.06353, Wa=1.2608, Wb=1.2325
update=293, Epoch=36, minibatch=4, loss=0.05151, Wa=1.2609, Wb=1.2323
