SDG_w_Momentum using custom implementation
nsamples=512, batch_size=64, epoch=100, lr=5e-05
initial Wa=0.10000000149011612, Wb=1.7999999523162842
update=293, Epoch=36, minibatch=4, loss=0.05176, Wa=1.2614, Wb=1.2324
update=294, Epoch=36, minibatch=5, loss=0.05000, Wa=1.2613, Wb=1.2324
update=295, Epoch=36, minibatch=6, loss=0.05358, Wa=1.2613, Wb=1.2324
update=296, Epoch=36, minibatch=7, loss=0.05891, Wa=1.2612, Wb=1.2324
update=297, Epoch=37, minibatch=0, loss=0.04977, Wa=1.2612, Wb=1.2324
update=298, Epoch=37, minibatch=1, loss=0.04795, Wa=1.2612, Wb=1.2324
update=299, Epoch=37, minibatch=2, loss=0.05040, Wa=1.2612, Wb=1.2324
update=300, Epoch=37, minibatch=3, loss=0.05286, Wa=1.2613, Wb=1.2325
update=301, Epoch=37, minibatch=4, loss=0.05526, Wa=1.2613, Wb=1.2325
update=302, Epoch=37, minibatch=5, loss=0.05890, Wa=1.2612, Wb=1.2325
update=303, Epoch=37, minibatch=6, loss=0.06944, Wa=1.2611, Wb=1.2325
update=304, Epoch=37, minibatch=7, loss=0.06550, Wa=1.2611, Wb=1.2324
update=305, Epoch=38, minibatch=0, loss=0.05263, Wa=1.2611, Wb=1.2325
update=306, Epoch=38, minibatch=1, loss=0.05829, Wa=1.2611, Wb=1.2325
update=307, Epoch=38, minibatch=2, loss=0.05739, Wa=1.2611, Wb=1.2326
update=308, Epoch=38, minibatch=3, loss=0.05055, Wa=1.2611, Wb=1.2326
